Af Bij,Bedrag (EUR)
Af,"425,00"
Af,"26,04"
Bij,"67,00"
Af,"17,13"
Af,"0,99"
Bij,"147,52"
Af,"4,98"
Af,"22,82"
Af,"36,43"
Af,"13,51"
Af,"2,95"
Af,"10,73"
Af,"11,99"
Bij,"2,80"
Af,"40,86"
Af,"59,37"
Bij,"10,46"
Af,"5,18"
Af,"0,50"
Bij,"850,00"
Bij,"156,74"
Af,"3,89"
Af,"26,05"
Bij,"6,94"
Bij,"107,00"
Af,"4,21"
Af,"3,31"
Af,"8,72"
Af,"33,65"
Af,"2,99"
Bij,"153,98"
Af,"2,98"
Bij,"10,00"
Af,"0,10"
Af,"15,52"
Af,"10,99"
Af,"48,80"
Af,"0,63"
Af,"20,17"
Af,"1,20"
Af,"18,73"
Bij,"4,66"
Af,"8,95"
Bij,"78,37"
Af,"17,69"
Af,"0,50"
Af,"160,00"
Af,"10,46"
Af,"14,48"
Af,"25,00"
Af,"9,14"
Bij,"80,21"
Af,"91,70"
Af,"2,25"
Af,"5,22"
Af,"1,00"
Af,"425,00"
Af,"9,37"
Af,"12,18"
Af,"3,45"
Af,"12,93"
Af,"11,99"
Af,"181,40"
Bij,"68,22"
Af,"16,49"
Bij,"850,00"
Af,"0,01"
Bij,"28,37"
Af,"26,37"
Bij,"107,00"
Bij,"8,78"
Af,"6,43"
Af,"20,35"
Af,"47,95"
Bij,"3,90"
Af,"7,84"
Af,"17,79"
Bij,"107,87"
Af,"8,72"
Af,"21,27"
Bij,"5,65"
Af,"2,99"
Af,"10,31"
Af,"13,98"
Af,"21,18"
Af,"31,95"
Af,"9,25"
Af,"1,20"
Bij,"20,00"
Bij,"149,37"
Bij,"1,69"
Af,"0,50"
Af,"0,50"
Af,"10,99"
Bij,"2,16"
Af,"20,84"
Af,"19,12"
Af,"17,56"
Af,"5,50"
Bij,"8,00"
Af,"9,23"
Af,"1,69"
Af,"2,16"
Af,"18,00"
Af,"9,97"
Bij,"76,53"
Bij,"3,53"
Af,"14,50"
Af,"7,25"
Af,"32,16"
Bij,"47,66"
Bij,"10,72"
Bij,"10,72"
Af,"2,80"
Af,"11,93"
Af,"0,79"
Af,"14,95"
Af,"22,24"
Af,"31,95"
Af,"19,56"
Af,"91,70"
Af,"425,00"
Bij,"3,90"
Af,"1,99"
Af,"11,99"
Bij,"149,37"
Bij,"150,00"
Af,"7,36"
Bij,"3,19"
Af,"5,81"
Bij,"3,19"
Af,"13,55"
Af,"870,21"
Bij,"870,00"
Bij,"3,19"
Bij,"3,19"
Af,"4,99"
Bij,"107,00"
Af,"15,88"
Af,"10,98"
Af,"5,00"
Af,"2,43"
Af,"2,66"
Af,"10,50"
Af,"10,27"
Af,"8,72"
Bij,"79,29"
Af,"31,90"
Af,"11,16"
Af,"4,57"
Af,"2,50"
Af,"2,99"
Af,"56,98"
Af,"25,50"
Af,"27,05"
Af,"5,53"
Af,"0,99"
Af,"7,35"
Af,"18,25"
Af,"1,20"
Bij,"152,13"
Af,"10,99"
Bij,"50,00"
Af,"62,60"
Af,"12,98"
Af,"120,00"
Bij,"150,00"
Af,"157,00"
Af,"9,37"
Bij,"8,37"
Af,"6,50"
Af,"7,75"
Af,"11,53"
Bij,"17,24"
Af,"29,65"
Bij,"15,05"
Bij,"27,50"
Bij,"50,00"
Bij,"347,05"
Af,"1275,00"
Bij,"1300,00"
Af,"150,00"
Bij,"150,00"
Af,"100,00"
Af,"21,24"
Af,"13,84"
Af,"1,68"
Af,"34,99"
Af,"91,70"
Af,"2,95"
Bij,"4,66"
Bij,"76,53"
Af,"11,65"
Af,"10,96"
Bij,"18,06"
Af,"11,99"
Af,"9,96"
Af,"12,17"
Bij,"15,50"
Bij,"20,00"
Af,"6,27"
Bij,"30,00"
Bij,"21,21"
Af,"15,00"
Bij,"82,98"
Af,"15,43"
Bij,"107,00"
Bij,"15,43"
Af,"100,00"
Af,"70,00"
Af,"40,00"
Af,"6,22"
Af,"2,99"
Bij,"74,67"
Bij,"11,40"
Af,"11,40"
Af,"1,20"
Af,"13,99"
Af,"3,45"
Bij,"4,66"
Af,"21,78"
Bij,"14,80"
Af,"3,00"
Af,"97,27"
Af,"91,70"
Af,"16,40"
Af,"5,87"
Bij,"40,54"
Bij,"228,47"
Af,"15,05"
Af,"11,99"
Af,"12,05"
Af,"1,19"
Bij,"153,35"
Af,"10,37"
Af,"1,69"
Af,"1,99"
Af,"4,09"
Af,"46,77"
Bij,"107,00"
Af,"85,00"
Af,"2,00"
Bij,"74,73"
Af,"0,50"
Af,"15,20"
Af,"2,99"
Af,"25,80"
Bij,"10,20"
Af,"13,87"
Af,"1,20"
Bij,"4,66"
Af,"0,50"
Af,"13,99"
Af,"80,00"
Af,"350,00"
Bij,"151,68"
Af,"0,50"
Af,"0,50"
Bij,"35,22"
Af,"14,15"
Af,"0,08"
Bij,"11,30"
Bij,"4,66"
Bij,"4,66"
Af,"10,00"
Af,"9,56"
Af,"15,23"
Bij,"75,66"
Bij,"10,00"
Bij,"11,63"
Af,"11,63"
Af,"87,95"
Af,"19,99"
Af,"3,75"
Af,"0,50"
Af,"7,43"
Af,"23,35"
Af,"12,20"
Bij,"23,35"
Bij,"7,50"
Af,"600,00"
Af,"12,59"
Af,"19,99"
Bij,"148,00"
Bij,"149,47"
Af,"0,50"
Bij,"7,40"
Bij,"7,40"
Bij,"7,40"
Bij,"3,75"
Bij,"3,75"
Af,"18,99"
Bij,"19,00"
Bij,"300,00"
Af,"2,58"
Af,"0,50"
Af,"3,96"
Af,"15,55"
Af,"10,49"
Af,"18,99"
Bij,"105,00"
Af,"7,50"
Bij,"73,81"
Bij,"1,40"
Af,"9,65"
Af,"8,40"
Af,"16,54"
Af,"47,66"
Af,"2,99"
Bij,"9,54"
Bij,"97,50"
Af,"4,30"
Af,"3,00"
Bij,"5,84"
Af,"14,65"
Bij,"213,45"
Bij,"8,99"
Af,"1,20"
Bij,"9,36"
Bij,"4,66"
Af,"10,00"
Af,"16,89"
Af,"11,13"
Af,"13,99"
Af,"3,49"
Af,"15,25"
Af,"22,50"
