Af Bij,Bedrag (EUR)
Bij,"150,00"
Af,"27,84"
Bij,"11,71"
Bij,"6,36"
Af,"5,36"
Af,"8,00"
Af,"11,69"
Af,"96,00"
Af,"10,16"
Af,"6,47"
Af,"2,35"
Bij,"346,01"
Af,"7,23"
Af,"9,99"
Af,"34,13"
Bij,"107,00"
Bij,"100,00"
Af,"1,75"
Af,"99,28"
Af,"199,91"
Bij,"270,00"
Af,"1,50"
Af,"26,05"
Af,"43,31"
Af,"43,31"
Af,"43,31"
Af,"43,31"
Af,"1,65"
Af,"0,01"
Bij,"216,55"
Af,"7,57"
Af,"3,00"
Af,"6,11"
Af,"5,99"
Af,"99,92"
Bij,"200,00"
Af,"317,67"
Af,"11,23"
Af,"3,99"
Af,"15,72"
Af,"8,99"
Af,"96,00"
Bij,"5,32"
Af,"2,35"
Af,"10,16"
Af,"300,00"
Bij,"566,28"
Af,"23,63"
Af,"1,00"
Bij,"107,00"
Bij,"100,00"
Af,"33,34"
Af,"2,40"
Af,"5,08"
Af,"19,67"
Af,"2,60"
Bij,"1,61"
Af,"5,88"
Af,"20,69"
Af,"2,30"
Af,"6,11"
Af,"27,49"
Af,"100,00"
Af,"15,56"
Bij,"200,00"
Af,"96,00"
Af,"317,67"
Af,"6,11"
Af,"3,05"
Af,"6,11"
Af,"10,16"
Af,"299,92"
Bij,"501,51"
Af,"20,26"
Af,"6,11"
Bij,"107,00"
Af,"6,11"
Af,"1,50"
Af,"9,13"
Af,"0,85"
Af,"2,68"
Af,"19,16"
Af,"0,85"
Af,"16,31"
Af,"11,51"
Bij,"4,48"
Bij,"24,37"
Bij,"200,00"
Af,"10,00"
Af,"317,67"
Af,"500,00"
Bij,"443,40"
Bij,"300,00"
Af,"96,00"
Bij,"50,00"
Af,"9,63"
Af,"3,63"
Af,"4,93"
Af,"8,09"
Bij,"8,38"
Bij,"1,13"
Bij,"107,00"
Af,"12,22"
Bij,"12,99"
Af,"36,43"
Af,"2,68"
Af,"32,66"
Af,"1,75"
Af,"12,00"
Bij,"100,00"
Af,"317,67"
Af,"9,75"
Af,"41,04"
Bij,"41,04"
Af,"2,50"
Af,"199,84"
Bij,"200,00"
Af,"10,00"
Af,"16,00"
Af,"10,00"
Af,"96,00"
Bij,"348,40"
Af,"15,54"
Bij,"107,00"
Af,"19,79"
Af,"4,04"
Af,"2,50"
Af,"0,50"
Af,"0,50"
Af,"8,66"
Af,"15,99"
Af,"3,00"
Af,"2,50"
Af,"36,01"
Af,"6,41"
Bij,"6,25"
Bij,"29,76"
Af,"25,98"
Af,"0,50"
Af,"8,24"
Af,"8,24"
Af,"8,23"
Bij,"200,00"
Af,"317,67"
Af,"13,59"
Af,"2,50"
Af,"92,50"
Af,"10,00"
Af,"0,50"
Af,"0,50"
Af,"8,58"
Af,"299,92"
Bij,"469,98"
Af,"2,50"
Af,"5,13"
Af,"11,26"
Bij,"105,00"
Af,"15,37"
Af,"2,50"
Af,"5,00"
Af,"0,50"
Af,"0,50"
Af,"0,50"
Af,"21,17"
Af,"13,83"
Af,"2,22"
Af,"13,25"
Af,"2,50"
Af,"29,25"
Bij,"29,25"
Af,"6,76"
Af,"12,90"
Bij,"21,99"
Af,"2,87"
Af,"3,26"
Af,"317,67"
Af,"2,50"
Af,"32,98"
Bij,"200,00"
